"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.2,0.964285714285714,4,815.967948717949,92591.4015401087,468
0.25,0.2,0.964285714285714,5,696.683760683761,95703.7327549919,468
0.25,0.2,0.964285714285714,6,646.282051282051,117828.866743535,468
0.25,0.2,0.964285714285714,7,663.876068376068,154098.310089863,468
0.25,0.2,0.964285714285714,8,709.980769230769,235972.883997694,468
0.25,0.2,0.964285714285714,9,840.224358974359,444497.155122715,468
0.25,0.2,0.964285714285714,10,1056.50641025641,977511.582399934,468
0.25,0.2,0.964285714285714,11,1375.74572649573,2146228.52407163,468
0.25,0.2,0.964285714285714,12,1804.34615384615,4149499.58441772,468
0.25,0.2,0.964285714285714,13,2378.44871794872,7341747.42134739,468
0.25,0.2,0.964285714285714,14,3041.63675213675,11796448.3688391,468
0.25,0.2,0.964285714285714,15,3788.53205128205,16321135.5343024,468
0.25,0.2,0.964285714285714,16,4612.55769230769,21151426.0416324,468
0.25,0.2,0.964285714285714,17,5429.01709401709,25100806.7363239,468
0.25,0.2,0.964285714285714,18,6246.08974358974,27869181.7820787,468
0.25,0.2,0.964285714285714,19,7039.39316239316,29174704.7615806,468
0.25,0.2,0.964285714285714,20,7839.89102564103,31125118.9966645,468
0.25,0.2,0.964285714285714,21,8619.13247863248,31714710.1836966,468
0.25,0.2,0.964285714285714,22,9311.88888888889,31774474.7113966,468
0.25,0.2,0.964285714285714,23,9891.08974358974,30866211.5465327,468
0.25,0.2,0.964285714285714,24,10541.7115384615,30028871.957297,468
0.25,0.2,0.964285714285714,25,11109.6303418803,28525101.698178,468
0.25,0.2,0.964285714285714,26,11722.5811965812,28105923.11759,468
0.25,0.2,0.964285714285714,27,12129.9038461538,25856690.6738182,468
0.25,0.2,0.964285714285714,28,12651.6645299145,24807681.9193388,468
0.25,0.2,0.964285714285714,29,13076.5170940171,22983024.4857885,468
0.25,0.2,0.964285714285714,30,13564.4017094017,21556515.6798258,468
0.25,0.2,0.964285714285714,31,13898.094017094,19741695.678508,468
0.25,0.2,0.964285714285714,32,14254.5363247863,18693893.2128104,468
0.25,0.2,0.964285714285714,33,14584.0277777778,17230177.8514751,468
0.25,0.2,0.964285714285714,34,14968.2820512821,15957378.9138527,468
0.25,0.2,0.964285714285714,35,15298.0683760684,14573444.4192976,468
0.25,0.2,0.964285714285714,36,15632.047008547,13426963.2568861,468
0.25,0.2,0.964285714285714,37,15860.5662393162,12278380.8028835,468
